estrategia,num_calculos,media,maximo,minimo,desvio_padrao,eficiencia_media,eficiencia_maxima,tempo_medio_s
Aleatoria,5000,24119493.133333333,29352411.0,18083160.0,3897899.0135682225,0.7497305291040142,0.9123905924497006,1.8959440050666672
Aleatoria,10000,28403237.333333332,30218182.0,23055490.0,1748961.6919719893,0.8828864701454832,0.9393022255559476,1.8959440050666672
Aleatoria,25000,29987155.933333334,30338064.0,28846510.0,424400.083555005,0.9321210093404441,0.9430286386606175,1.8959440050666672
Aleatoria,50000,30204245.0,30440853.0,29217413.0,297185.37915535865,0.9388690077297537,0.9462237328083286,1.8959440050666672
Aleatoria + BL,5000,30219493.2,30566697.0,28731122.0,438689.2217423238,0.9393429829078673,0.9501354687715596,1.0032794984666604
Aleatoria + BL,10000,30458963.866666667,30720868.0,30226518.0,166099.94736554884,0.946786691141386,0.9549277214430204,1.0032794984666604
Aleatoria + BL,25000,30638382.8,30916068.0,30318833.0,159242.5961083098,0.9523637507866974,0.9609953198984311,1.0032794984666604
Aleatoria + BL,50000,30667593.666666668,30924737.0,30373359.0,154126.7735551608,0.9532717416138894,0.9612647871679494,1.0032794984666604
GRASP (a=0.5),5000,-187246475.73333332,-103250554.0,-266036938.0,46446150.40955263,-5.8203710396551225,-3.2094410961613953,1.9084473547333498
GRASP (a=0.5),10000,-56616862.86666667,-2604569.0,-96614062.0,29813514.330219526,-1.759879045491747,-0.08096044488427626,1.9084473547333498
GRASP (a=0.5),25000,19436364.6,30006828.0,6185541.0,6394865.08317965,0.6041601220581978,0.9327324960275414,1.9084473547333498
GRASP (a=0.5),50000,27333194.133333333,30615863.0,15571287.0,4282141.081071592,0.8496252382420878,0.9516637451325163,1.9084473547333498
GRASP (a=0.5) + BL,5000,-146933221.93333334,-121099882.0,-188306517.0,17929210.517101467,-4.567273516655832,-3.76426975908619,1.0379735123333376
GRASP (a=0.5) + BL,10000,-49091529.93333333,-10422896.0,-85988645.0,18777837.201005984,-1.5259615327727662,-0.3239853876562853,1.0379735123333376
GRASP (a=0.5) + BL,25000,30438279.533333335,30676704.0,30068219.0,149017.89102696296,0.9461437391486375,0.9535549272924837,1.0379735123333376
GRASP (a=0.5) + BL,50000,30509693.2,30729200.0,30213798.0,135205.7618273507,0.9483635621689339,0.9551867134016806,1.0379735123333376
